138	KK LUXURA	KK BUILDCON	31-12-2026	Municipal No. 115/127/4, situated at Kothanur Village , Kothanur Dinne Main Road, Behind Ganesha Temple, J.P. Nagar 7th Phase
139	AIEKYA	Avaneesh Ventures	31-12-2027	Site No 18, Yelachenahalli Village , Uttarahalli Hobli	107.1
140	AMBHA BHAVANI RESIDENCY	SHREE JNANAKSHI BUILDERS AND DEVELOPERS	31-12-2027	KHATHA NO - 391/20/1 & 20/12/223, PATTANAGERE VILLAGE , KENGERI VILLAGE, BANGALORE SOUTH TALUK, WARD NO 198
141	Sanjeevini II	MBSR Infrastructure Pvt. Ltd.	10-06-2025	Sy No.70, Byalalu , Tavarekere Hobli, Bengaluru South, Bengaluru
142	VEDA VILASA	SAI SAMRUDHI CONSTRUCTIONS	31-12-2026	Katha No. 6624/114, Sy. No. 114/1 & 114/2 , Kengeri Village	191.1
143	SONG OF WIND	ROYAL INDRAPRASTHA BUILDCON LLP	28-02-2026	BBMP KHATHA NO 107, SITE NO 107, SY NO 7/4, 7/11, 7/12, 8/1P AND 25/26/1, , MANVATHEKAVAL VILLAGE, UTTARAHALLI HOBLI, WARD NO 198,	106.4
144	Akshaya Meadows	M/s Akshaya Meadows	30-04-2026	Sy.No. 53/9(P), 10, 11,12,13 Yelanahalli Village , Begur Hobli
145	Pacific Legacy	Maryiam Infrastructure Private Limited	31-12-2025	Sy No 71/2, 71/3, 71/4, 71/5, 71/6, 71/7 , Someshwara Layout, Bilekahalli Village, Begur Hobli	100.4
146	Arohana Serenity	Nagaraja B	19-08-2025	Sy.Nos.1/3, 1/4, 3/1, 3/2, 3/3, 4/1, 4/2, 4/3, 4/4, , Maligondanahalli village, Kengeri Hobli
147	GOOD EARTH OCHRE	GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED	31-10-2027	Sy. Nos. 223 (P), 224 (P) & 226 (P), , Kambipura Village, Kengeri Hobli, , Bangalore South Taluk
148	GARUDAATHRI NILAYA	M/s. GARUDAATHRI DEVELOPERS	31-12-2025	Site No. 29 & 30, Katha No. 497/485/30 & 484/29, Ward No.192, Central Excise Layout, Phase 1 , Kammanahalli Village, Begur Hobli	66.4
149	ARKHA SANCTUARY	ARKHA DEVELOPERS	30-06-2025	Katha No. 198, Sy. No. 82 , Uttarahalli Village	107.2
150	SRIVARA VASUDHA	SRIVARA INFRA	30-11-2026	Katha No. 645/19/3, Sy. No. 19/3 , Uttarahalli Hobli, Ward No. 198	121.7
151	BELAKU	Millennial Luxury Estates Private Limited	31-03-2026	Survey No.24/8A, of Jakkasandra Village, Begur Hobli , Bangalore South Taluk	222.2
152	Haven of Bliss	ANEMONES HOSPITALITY AND HOTELS PRIVATE LIMITED	31-12-2026	Sy No's. 25/P,28/1,28/2,29/4,29/6,29/7,29/9,29/10,29/11,29/12,29/13,29/14,29/15,32/1A , DODDABELE VILLAGE, KENGERI HOBLI
153	IRESH ADVAITA	M/s. IRESH INFRA	31-12-2027	SY. NO. 22/6, KATHA NO. 34/22/6, PARAPPANA AGRAHARA VILLAGE, BEGUR HOBLI, BANGALORE SOUTH TALUK, BANGALORE	88.4
154	VAARAHI VIVAREA	VAARAHI CONSTRUCTIONS	30-06-2027	Sy. No. 210/1 (Old Sy. No. 69) , Kambipura Village	98.8
155	SUVRITH SHELTER	SUVRITH STRUCTURES	30-09-2026	Site No. 751, Sy. No. 129/1A, Hemmigepura, Kengeri Sub Zone, Ward No. 198	92.7
156	Essence of Earth	Sri Sai Associates	31-03-2026	Residential Layout plan in Sy no 24/2, 25/2, 26/1, 26/2, 27/3 and 27/4(Part) of  , Kaggalipura Village, Uttarahalli hobli, Kanakapura main road
157	SREE LAKSHMI VALLABHA RESIDENCY	SHANKARA VIJAYA CONSTRUCTIONS LLP	20-12-2026	KATHA NO 1209/830/48/3/48/4, DODDAKALASANDRA VILLAGE , WARD NO 197, UTTARAHALLI HOBLI	146
158	MRCL SYLVAN WOOD	MOHAN KUMAR S R AND PRABHU B H	30-06-2026	Sy No 50/2, 50/3 and 50/5 of Muddayyanapalya Village , Tavarekere Hobli
159	WEAVE	EVANTHA SRI DURGA PROJECTS	31-03-2027	Khata No: 150200102700720489 (255-256-257), situated at Sy No 182/9, 182/27 and 182/28 , Bikkalanahalli Village, Sarjapur Hobli, Anekal Taluk
160	HEXA SKYLINE	HEXA BUILDER	31-08-2027	KATHA NO: 3036/81/1/87/8/81/2/81/4/81/7/81/5, GOTTIGERE VILLAGE, UTTARAHALLI HOBLI, BANGALORE. WARD NO 194	107.9
161	SRI NANJUNDESHWARA RESIDENCY	SRI NANJUNDESHWARA INFRATECH	31-12-2027	SY NO 82/5, (NEW SY NO 82/7), KATHA NO 853/4666/82/5/4666,  , KENGERI VILLAGE, KENGERI HOBLI, BANGALORE IN WARD NO 198
162	AISHWARYA GREEN HOMES	AISHWARYA DEVELOPERS	30-09-2026	BBMP Khatha No. 370/35/1/35/1 , Thurahalli Village, Uttarahalli Hobli	127
163	Heavie Halcyon	Sentient Devcon LLP	31-08-2027	Katha No. 274/233/249/228/226/227/223/225 , Ward no. 174, Agara Village , 22nd main road, Sarjapura road, Begur Hobli	144.5
164	ATARAXIS	PRADEEP KRISHNAPPA	01-01-2026	Converted Sy No.13/1 & SY No.13/2 situated at Vajarahalli Village Uttarahalli Hobli, Bangalore South Taluk, Bangalore
165	AMARYLLIS	RAKI DEVELOPERS LLP	06-07-2026	Sy. No.375/2, 12th Cross, Classic Paradise layout,  , Begur Road Bangalore	107.9
166	VAISHNODEVI INDUSTRIAL PARK	Vaishnodevi Lush Greens Private Limited	30-12-2025	Sy Nos 41/1, 41/2, 41/3, 41/4, 41/5,41/6,41/7 Situated in Thagachiguppe Village,  , Kengeri Hobli, Bangalore South Taluk, Bangalore
167	DHIRAAN LOTUS	DHIRAAN INFRASTRUCTURE PVT. LTD	31-12-2027	SY NO'S  199/4, 199/3, SITUATED @ KHATHA NO - 544 , BEGUR HOBLI, BANGALORE SOUTH TALUK, WARD NO: 192
168	MEENAKSHI VRINDAVAN	PUNIT BALAN, PURNIMA SUNIL ALGUDE, SHIBANI DATTA	31-12-2025	SY NO 15/1A OF YELLUKUNTE VILLAGE,  , BEGUR HOBLI,	116.6
169	AJMERA IRIS	AJMERA HOUSING CORPORATION BANGALORE	31-12-2026	SY NO 13/5, ELECTRONIC CITY PHASE 2, DODDANAGAMANGALA MAIN ROAD,	101.3
170	MY BUILDCON SERENE	MY BUILDCON	30-06-2027	Sy. No. 11P, Dodda Nagamangala Village , Electronic City, Phase - 2	94.9
171	SUGUNA ELITE AVENUE	SUGUNA BUILDERS AND DEVELOPERS	13-03-2027	KATHA NO 7412, SY NO 100/4, HALAGEVADARAHALLI VILLAGE , KENGERI HOBLI, BENGALURU SOUTH TALUK, BENGALURU WARD NO 160	153.7
172	Celestial Charm	Sree Vidhathri Developers	14-08-2027	Royal Park Residency, BBMP Khatha No.525, Alahalli Village,  , Uttarahalli Hobli, Bangalore South Taluk, within BBMP Ward No.196, Anjanapura	140.9
173	THE BREEZE WAY	M SQUARE INFRA	31-03-2027	BBMP Katha No. 2266/104/3007/185/1, Ward No. 194 , Kothanur Village	96.9
174	PLATINUM LANDMARK	SAI PROPERTIES	30-12-2027	Sy 80, Kembathahalli, Uttarahalli Hobli	104.5
175	SPOORTHY DIVINE	MANOJ CHIDANANDA	09-01-2025	PLOTTED DEVELOPEMENT OF RESIDENTIAL LAYOUT OF LAND BEARING SY NO. 52/2, SITUATED AT RAMOHALLI VILLAGE, Kengeri 2 Hobli, BANGALORE SOUTH
176	SAI ORCHID	AKSHAYA INFRA	30-06-2027	Sy. No. 11P, Electronic City, Phase - 2 , Dodda Nagamangala Village, Beguru Hobli	100.7
177	BRHAT VALLEY PARK	P CHANDRA	01-12-2025	Sy No. 127/1(P), 131/1(P) and 131/2 Situated at Kambipura Village , Kengeri Hobli
178	SLV Gardens	M/S. S L V Gardens	31-12-2027	Sy no 161/4&171/1   , Taralu Village, Uttarahalli Hobli
179	AYDIN INFRA SIGNATURE 3	AYDIN INFRA	05-08-2027	Site No 1 ,Sy no 2/1P ,3P, 4P,5,6,7,8,10,11,12,12/1   , Ward no 151, Srinivagilu Amanikere Village, Jakkasandra ,Begur Hobli,	122.2
180	PRUTHVI EVARA	M/S. PRUTHVI PROJECTS	31-03-2027	SY NO 118/1, 118/4, 118/5, 128/1, 128/3, 128/4 OF MAHALECHOWDADENAHALLI VILLAGE, , SARJAPURA HOBLI,
181	VIJAYASHREE ENCLAVE 3	M V KARTHIK	31-03-2026	Sy no 117/4, 117/9 and 117/10 of Kumbalagodu Village , Kengeri Hobli
182	CINNAMON CITADEL	RROYAL INDRAPRASTHA CINNAMON CITADEL LLP	02-05-2027	Sy No 288/3 of B M Kaval Village , Kengeri Hobli
183	WILDERWOOD BY REOZONE	SRI PRAKASHANATH SWAMIJI	31-07-2025	Sy.No.168, 169, 170 And 171 of Kumbalagudu Village , Kengeri Hobli, Bengaluru South Taluk
184	JWALAMALA TEMPLE CREST	Mehta Real Assets Bangalore Pvt Ltd	23-10-2026	Survey No. 63/1, Bommanahalli Village, Begur Hobli , Bangalore south Taluk, Bommnahalli	136
185	RAGAM MEADOWS	M R VENTURES	31-08-2027	17/1 & 17/2 Begur Village, Begur Hobli,  , Bangalore South Taluk	101.6
186	PSN Misty Woods	P S N Developers	31-12-2027	Sy No 38/1, 38/2, 38/3, 38/4, 38/5, 45/1, 45/2, 45/3, 45/4 and 45/5 of Harohalli Village , Sarjapura Hobli, Anekal Taluk, Bangalore Urban District
187	ABH SAMRDDHI	B V TARAKESHWARI	28-02-2026	SY NO 37/1B2 OF  , KENCHANAPURA VILLAGE, KENGERI HOBLI
188	JYOTHI NIVAS	SAI KIRAN CONSTRUCTIONS	30-06-2026	Khatha No. 242/6, 7,8,9,10,11,12,13,14,15/234 , Channasandra Village, Uttarahalli Hobli, Ward No. 160
189	Perody Peepal Tree	M/s Perody Builders Pvt Ltd	31-12-2026	Sy No 90,Arakere Village,Begur Hobli,Bangalore-560076	114
190	KING'S PEGASUS	KING'S DEVELOPERS & INFRASTRUCTURE	31-12-2026	BBMP No. 1372/C-1/01, PID No. 60-96-1/01 , 32nd 'E' Cross, 4th 'T' Block, Jayanagara	127.1
191	Beryl Tranquil Terraces	Beryl Properties Private Limited	31-12-2027	SITE NO 471/9/10/11/12, ,  SUBRAMANYAPURA  VILLAGE, UTTARAHALLI HOBLI, WARD NO 197	115
192	SRL MAJESTIC	SRI RANGALAKSHMI GOLDEN ARCADE PRIVATE LIMITED	30-06-2026	Katha number 78/4/541/56, Survey number. 78/4 , Kengeri village, Kodipalya, Banagalore, Ward numer 198- Hemmigepura	94
