Sl No,Project Name,Promoter,Completion Date,Extension 1,Extension 2,Extension 3,Address,Area (sqm),Units,Matched Locality,Nearest Metro Station,Distance to Metro (km),Within 4km,Google Maps
146,CHAMUNDI AMBERWOODS,CHAMUNDI BUILDERS,30-05-2026,,31-08-2018 - 31-08-2019,31-08-2019 - 30-05-2026,"CHAMUNDI BUILDERS, 26 CHAMUNDI MANSION, 22ND MAIN ROAD, JP NAGAR II PHASE, BANGALORE, CHAMUNDI BUILDERS, 26 CHAMUNDI MANSION, 22ND MAIN ROAD, JP NAGAR II PHASE, BANGALORE",129,34,jp nagar,Yelachenahalli,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.9063,77.5765"
389,Provident Park Square 5,Puravankara Limited,30-06-2026,31-12-2024 -,30-09-2025 - 30-06-2026,,"Sy No 3/3, 7, 8/1, 9/2A, 9/2B1, 26/1 Mallasandra Village, Uttarahalli Hobli",83.8,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
446,Sound of Water Phase 2,Puravankara Limited,30-06-2026,,,,"24/3, 29/1, 29/2, 33, 34, 35/1, 35/2, 35/3, 36/2, 36/3, 36/4, 36/5, 36/6, 48, 49/1, 49/2, 50, 51, 52/1, 52/2, 53/1, 53/2, 53/3, 53/4, 53/5, Ward No. 192, Kammanahalli Village, Begur Hobli",210.5,40,kammanahalli,Yelachenahalli,4.61,No,"https://www.google.com/maps/search/?api=1&query=12.885,77.613"
497,GARDEN SQUARE,Sai Kiran Constructions,30-06-2026,,,,"Khatha No. 2380/2/55/1  Sy. No. 55/1 , Ward No.184, Uttarahalli",109.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
531,PIONEER KRS PARK ROYAL WING 2,KRS EVERGREEN STRUCTURES,30-06-2026,,,,"Sy No 54, Property No./PID No. 340/341/54, Ward no 198 , Kenchenahalli village, Kengeri Hobli",115,,kenchenahalli,Thalaghattapura,1.71,Yes,"https://www.google.com/maps/search/?api=1&query=12.857,77.502"
582,MRCL SYLVAN WOOD,MOHAN KUMAR S R AND PRABHU B H,30-06-2026,,,,"Sy No 50/2, 50/3 and 50/5 of Muddayyanapalya Village , Tavarekere Hobli",,,muddayyanapalya,Vajrahalli,2.99,Yes,"https://www.google.com/maps/search/?api=1&query=12.84,77.547"
595,JYOTHI NIVAS,SAI KIRAN CONSTRUCTIONS,30-06-2026,,,,"Khatha No. 242/6, 7,8,9,10,11,12,13,14,15/234 , Channasandra Village, Uttarahalli Hobli, Ward No. 160",,,channasandra,Konanakunte Cross,1.67,Yes,"https://www.google.com/maps/search/?api=1&query=12.893,77.548"
598,SRL MAJESTIC,SRI RANGALAKSHMI GOLDEN ARCADE PRIVATE LIMITED,30-06-2026,,,,"Katha number 78/4/541/56, Survey number. 78/4 , Kengeri village, Kodipalya, Banagalore, Ward numer 198- Hemmigepura",94,,hemmigepura,Thalaghattapura,1.08,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.505"
458,CONSTRUCTION OF 516(GF) INDIVIDUAL UNITS,KARNATAKA SLUM DEVELOPMENT BOARD,06-07-2026,,,,"WARD NO 147 ,RAJENDRANAGARA , ADUGODI ,BTM LAYOUT , BENGALURU",,,btm layout,Yelachenahalli,3.74,Yes,"https://www.google.com/maps/search/?api=1&query=12.914,77.6101"
585,AMARYLLIS,RAKI DEVELOPERS LLP,06-07-2026,,,,"Sy. No.375/2, 12th Cross, Classic Paradise layout,  , Begur Road Bangalore",107.9,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
304,PICCASSSO,Rajarajeshware Buillcon pvt ltd,30-07-2026,31-10-2022 -,30-07-2023 - 30-07-2024,30-07-2024 - 30-07-2026,"Muncipal no.152,153,154,155,157,158,159 and 160,18th MAIN RD,9th BLOCK JAYANAGAR BANGALORE., Muncipal no.152,153,154,155,157,158,159 and 160,18th MAIN RD,9th BLOCK JAYANAGAR BANGALORE.",151.2,150,jayanagar,Yelachenahalli,2.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.9279,77.5848"
499,RAJ VIVIENTE,SNN ABODE LLP,31-07-2026,,,,"Sy No 55, 56/1, 56/2, 57/3, 57/4, 57/6, 57/5 situated in Kammanahalli Village , Begur Hobli",,,kammanahalli,Yelachenahalli,4.61,No,"https://www.google.com/maps/search/?api=1&query=12.885,77.613"
518,South Park Phase 1,ESTEEM SOUTH PARKS PRIVATE LIMITED,15-08-2026,,,,"sy No 5(P), 18/2,19/3B, 19/4,19/6,19/3A (P), 19/7(P),  , Gottigere Village Uttarhalli Hobli",,,gottigere,Konanakunte Cross,4.06,No,"https://www.google.com/maps/search/?api=1&query=12.8692,77.5927"
560,Assetz Inspira Melodies of Life,IINSPIRA WORLDCITY PROJECTS PRIVATE LIMITED,31-08-2026,,,,"SY. NO-86/1, 86/ 3, 86/ 4, 2/ 1, 2/ 2, 4, 5, 7 ,8/ 1, 8/ 2, 8/ 3, 9, 10 13/ 2, 13/ 3, 14/ 1, 14/ 2, 14/ 3, 15/ 1, 15/ 2, 15/ 3, 16, 17/ 1   ,  AT K.G. Choodasandra VILLAGE, 120/ 1 and  120/ 3 120/ 4 . AT RAYASANDRA VILLAGE,SARJAPURA  HOBLI, ANEKAL TALUK, BANGALORE",,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
173,VISTAAS,SONA HEIGHTS,01-09-2026,01-12-2024 -,01-09-2025 - 01-09-2026,,"SURVEY NO 314/2, 314/1, 314/7,375/1, BEGUR VILLAGE, BEGUR HOBLI",127.3,85,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
532,CASAGRAND FLAMINGO,CASA GRANDE GARDEN CITY BUILDERS PRIVATE LIMITED,15-09-2026,,,,"Sy No 50, Haralukunte Village , Begur Hobli",119.6,,haralukunte,Yelachenahalli,5.08,No,"https://www.google.com/maps/search/?api=1&query=12.885,77.618"
278,The Magic Faraway Tree Phase 2a,Total Environment Building Systems Pvt Ltd,30-09-2026,31-12-2024 - 30-09-2025,30-09-2025 - 30-09-2026,,"Survey no 32 part1 and 33 part 1 and 33 part 2, Kanakapura Road Tallaghattapura",156,120,tallaghattapura,Thalaghattapura,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8479,77.5147"
434,Concorde Abode 99,Concorde Millennium LLP,30-09-2026,,,,"Sy No 10/1, 10/2, 10/3, 11/2B, 12/1, 12/2, 17 and 31/1, Ramasagara Village, Attibele Hobli, Anekal Taluk",,,attibele,Yelachenahalli,22.83,No,"https://www.google.com/maps/search/?api=1&query=12.79,77.75"
471,VBHC Haven of Joy,VBHC Mumbai Value Homes Pvt Ltd,30-09-2026,,,,"VBHC PALMHAVEN - 2 BLOCK -A, DODDABELE VILLAGE, KENGERI HOBLI, BANGALORE SOUTH TALUK, BENGALURU SOUTH, BENGALURU URBAN",,,doddabele,Kengeri,2.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.472"
579,SUVRITH SHELTER,SUVRITH STRUCTURES,30-09-2026,,,,"Site No. 751, Sy. No. 129/1A, Hemmigepura, Kengeri Sub Zone, Ward No. 198",92.7,,hemmigepura,Thalaghattapura,1.08,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.505"
583,AISHWARYA GREEN HOMES,AISHWARYA DEVELOPERS,30-09-2026,,,,"BBMP Khatha No. 370/35/1/35/1 , Thurahalli Village, Uttarahalli Hobli",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
464,Construction of 484 Ground Floor units in  Variou,KSDB,16-10-2026,,,,"corporation colny Jayanagara 9th Block near east end  circle, corporation colny  Jayanagara 9th Block near east end  circle",,,jayanagar,Yelachenahalli,2.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.9279,77.5848"
462,Construction of 1200 (GF) HOUSES at Bommanahalli,karnataka slum development board,17-10-2026,,,,"Hulimavu  , Venugopalanagar, bannerghatta road , bangalore",,,hulimavu,Yelachenahalli,3.87,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.608"
463,Construction of 1430 Houses in CV Raman Nagar,KARNATAKA SLUM DEVELOPMENT BOARD,17-10-2026,,,,"Sudamanagara , Bangalore South",,,sudamanagara,Yelachenahalli,1.53,Yes,"https://www.google.com/maps/search/?api=1&query=12.92,77.575"
465,Construction of 1000 Dus in Rajarajeshwarinagar,Karnataka Slum Development Board,17-10-2026,,,,"Various slums in Rajarajeshwarinagar Constituency , Rajarajeshwarinagar, Bangalore",,,rajarajeshwarinagar,Attiguppe,2.76,Yes,"https://www.google.com/maps/search/?api=1&query=12.96,77.5"
396,SHRIRAM SOUTHERN CREST - Phase -2,SHRIPROP PROJECTS PRIVATE LIMITED,21-10-2026,21-01-2025 - 21-10-2025,21-10-2025 - 21-10-2026,,"Sy. Nos. 39, 40, 41 & 42/3A of Jaranganahalli Village, Uttarahalli Hobli, Bangalore South Taluk, Bangalore District, Karnataka",113.2,,jaranganahalli,Vajrahalli,1.36,Yes,"https://www.google.com/maps/search/?api=1&query=12.874,77.53"
593,JWALAMALA TEMPLE CREST,Mehta Real Assets Bangalore Pvt Ltd,23-10-2026,,,,"Survey No. 63/1, Bommanahalli Village, Begur Hobli , Bangalore south Taluk, Bommnahalli",136,18,bommanahalli,Yelachenahalli,5.06,No,"https://www.google.com/maps/search/?api=1&query=12.896,77.622"
492,GRAVITY ARANYA,GRAVITY ESTATES,15-11-2026,,15-11-2024 - 15-11-2025,15-11-2025 - 15-11-2026,"PROPOSED RESIDENTIAL APARTMENT `BUILDING ATKHATHA NO.424/31,37,38,SY NO. 31,37,&38 , CHUDENAPURA VILLAGEKENGERI HOBLI,BANGALORE SOUTH TALUK, BANGALORE ,WARD NO.198,",180.4,40,chudenapura,Kengeri,1.97,Yes,"https://www.google.com/maps/search/?api=1&query=12.845,77.484"
575,SRIVARA VASUDHA,SRIVARA INFRA,30-11-2026,,,,"Katha No. 645/19/3, Sy. No. 19/3 , Uttarahalli Hobli, Ward No. 198",121.7,10,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
581,SREE LAKSHMI VALLABHA RESIDENCY,SHANKARA VIJAYA CONSTRUCTIONS LLP,20-12-2026,,,,"KATHA NO 1209/830/48/3/48/4, DODDAKALASANDRA VILLAGE , WARD NO 197, UTTARAHALLI HOBLI",146,80,doddakalasandra,Doddakallasandra,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8774,77.5483"
418,G R FLORET,SGR BUILDTECH LLP,31-12-2026,,,,"Khatha No 96/97/46/2, Ward No 192, Yelenahalli Village, Koppa Road, Begur Hobli, Bangalore",89.7,,yelenahalli,Yelachenahalli,5.28,No,"https://www.google.com/maps/search/?api=1&query=12.887,77.621"
419,SUGUNA PRISTINE SQUARE,SUGUNA  BUILDERS AND DEVELOPERS,31-12-2026,,,,"Property No./PID No. 1263/142/2 ,Ward No: Ward-160, Haligevaderahalli Village,Kengeri Hobli,Bangalore South, Bengaluru.",102,,haligevaderahalli,Vajrahalli,1.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.868,77.518"
455,SIDDARTHA SOLITAIRE PHASE 2,Siddartha Builders,31-12-2026,,,,"Sy.No:25/7,8,9,10 of Beretena Agrahara Village, Begur Hobli, Bengaluru",90,,beretena agrahara,Yelachenahalli,5.11,No,"https://www.google.com/maps/search/?api=1&query=12.874,77.61"
472,ICON MICASA,ICON INFRA SHELTERS INDIA PRIVATE LIMITED,31-12-2026,,30-12-2024 - 30-12-2025,30-12-2025 - 31-12-2026,"Survey Nos.128/2 and 128/3, Kudlu Village, Sarjapura Hobli, Anekal Taluk",56.3,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
475,BRIGADE KOMARLA HEIGHTS,Brigade Enterprises Ltd,31-12-2026,,,,"Subramanyapura, Uttarahalli, Bangalore",105.7,,subramanyapura,Konanakunte Cross,2.31,Yes,"https://www.google.com/maps/search/?api=1&query=12.91,77.553"
485,BRIGADE NANDA HEIGHTS,Brigade Enterprises Ltd,31-12-2026,,,,"Banashankari 6th Stage 1st Block, Thurahalli Village, Uttarahalli Hobli,",98.6,,banashankari,Yelachenahalli,2.83,Yes,"https://www.google.com/maps/search/?api=1&query=12.9267,77.5609"
489,South Park phase 2,ESTEEM SOUTH PARKS PRIVATE LIMITED,31-12-2026,,,,"Sy No 5/2 , 18/2, 19/3B, 19/4, 19/6, 19/3A, 19/7 , gottigere village uttarhalli hobli bangalore south taluk",,,gottigere,Konanakunte Cross,4.06,No,"https://www.google.com/maps/search/?api=1&query=12.8692,77.5927"
491,Brigade Horizon,Brigade Enterprises Limited,31-12-2026,,,,"Survey No's 248/1 and 248/2,  , Kambipura Village, Kengeri Hobli, Bangalore South Taluk",92.1,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
505,LEGEND VALENCIA,LEGEND PROPERTY,31-12-2026,,,,"LEGEND PROPERTY , SY NO 54/6 & 54/7 SINGASANDRA VILLAGE BEGUR HOBLI",90.7,,singasandra,Yelachenahalli,5.74,No,"https://www.google.com/maps/search/?api=1&query=12.873,77.617"
506,MYTHRI HABITAT,MYTHRILEITE HOMES PRIVATE LIMITED,31-12-2026,,,,"BBMP KATHA NO,2404, SY. NO.74, KOTHANUR VILLAGE , WARD NO.194, BANGALORE",,,kothanur,Yelachenahalli,0.84,Yes,"https://www.google.com/maps/search/?api=1&query=12.8989,77.578"
526,GOOD EARTH OCTAVE,GOOD EARTH ECO COMMUNITIES PRIVATE LIMITED,31-12-2026,,,,"Sy. Nos. 228(P), 229-1 & 229-2 , Kambipura Village",,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
547,Raheja Vivarea - Phase 2,CHALET HOTELS LIMITED,31-12-2026,,,,"Municipal No. 21, Koramangala Industrial Layout  , Sy No 21p, 22p, 42p & 53/1B, Jakkasandra Village, Sarjapura Road, Bangalore South",160,153,jakkasandra,Yelachenahalli,5.62,No,"https://www.google.com/maps/search/?api=1&query=12.912,77.628"
550,SHUBHA SAGARI,SHUBHADITHYA BUILDERS AND DEVELOPERS,31-12-2026,,,,"SURVEY NOS.103,105/2,109/2A AND 109/2B ITTANGUR VILLAGE , SARJAPURA HOBLI, ANEKAL TALUK",,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
559,SV Brezza 2,S V Developers,31-12-2026,,,,"Katha No. 9/1/123/276 to 301/304 to 315/341/119 , Kenchenahalli, Gnanabharathi, R.R.Nagar, Bangalore",95.9,,kenchenahalli,Thalaghattapura,1.71,Yes,"https://www.google.com/maps/search/?api=1&query=12.857,77.502"
562,Samaya Sunshine,M/s SAMAYA INFRASTRUCTURES (Prop : PRASANNA KUMAR B M),31-12-2026,,,,"PROPOSED RESIDENTIAL APARTMENT BUILDING @ BBMP KATHA NO 148/149/150/151/176/177/178/179/68/2028/2093 , MYLASANDRA VILLAGE, KENGERI HOBLI, BANGALORE, WARD NO:198",85.6,,mylasandra,Silk Institute,0.76,Yes,"https://www.google.com/maps/search/?api=1&query=12.84,77.495"
565,KK LUXURA,KK BUILDCON,31-12-2026,,,,"Municipal No. 115/127/4, situated at Kothanur Village , Kothanur Dinne Main Road, Behind Ganesha Temple, J.P. Nagar 7th Phase",,,kothanur,Yelachenahalli,0.84,Yes,"https://www.google.com/maps/search/?api=1&query=12.8989,77.578"
568,VEDA VILASA,SAI SAMRUDHI CONSTRUCTIONS,31-12-2026,,,,"Katha No. 6624/114, Sy. No. 114/1 & 114/2 , Kengeri Village",191.1,82,kengeri,Kengeri,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8274,77.4822"
578,Haven of Bliss,ANEMONES HOSPITALITY AND HOTELS PRIVATE LIMITED,31-12-2026,,,,"Sy No's. 25/P,28/1,28/2,29/4,29/6,29/7,29/9,29/10,29/11,29/12,29/13,29/14,29/15,32/1A , DODDABELE VILLAGE, KENGERI HOBLI",,,doddabele,Kengeri,2.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.472"
588,AJMERA IRIS,AJMERA HOUSING CORPORATION BANGALORE,31-12-2026,,,,"SY NO 13/5, ELECTRONIC CITY PHASE 2, DODDANAGAMANGALA MAIN ROAD,",101.3,,doddanagamangala,Yelachenahalli,9.88,No,"https://www.google.com/maps/search/?api=1&query=12.858,77.653"
596,Perody Peepal Tree,M/s Perody Builders Pvt Ltd,31-12-2026,,,,"Sy No 90,Arakere Village,Begur Hobli,Bangalore-560076",114,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
597,KING'S PEGASUS,KING'S DEVELOPERS & INFRASTRUCTURE,31-12-2026,,,,"BBMP No. 1372/C-1/01, PID No. 60-96-1/01 , 32nd 'E' Cross, 4th 'T' Block, Jayanagara",127.1,8,jayanagar,Yelachenahalli,2.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.9279,77.5848"
600,The Valley By Essem18 Phase 1,Essem18 Developers Private Limited,31-12-2026,,,,"Survey No 9/1, Khata No 386/9/1, Patanagere Village, Kengeri Hobli, Ward no",,,patanagere,Silk Institute,0.66,Yes,"https://www.google.com/maps/search/?api=1&query=12.843,77.503"
1,Adarsh Premia - Phase 1,Adarsh Developers,31-03-2027,,,,"Ward No.55, Municiple No.3(Old No 52/1A, 56/2,57 & 53,), No 3, Kadirenahalli, Outer ring road,  Banashankari,",153.1,,banashankari,Yelachenahalli,2.83,Yes,"https://www.google.com/maps/search/?api=1&query=12.9267,77.5609"
2,The Magic Faraway Tree Phase 2,Total Environment Building Systems Pvt Ltd,30-09-2027,,,,"Survey no 32 part1 and 33 part 1 and 33 part 2 Kanakapura Road, Tallaghattapura",246,,tallaghattapura,Thalaghattapura,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8479,77.5147"
10,TG Heritage,T G DEVELOPERS,31-12-2027,,,,"178,179, chikkanagamangala village, Anekal taluk, sarjapur hobli, off Hosa Road",90.2,,anekal,Vajrahalli,24.14,No,"https://www.google.com/maps/search/?api=1&query=12.71,77.69"
12,Sowparnika Pranathi,SOWPARNIKA PROJECTS AND INFRASTRUCTURE PRIVATE LIMITED,30-09-2025,,,,"Sy. No. 28/17, Re - Sy. No. 28/17-A, Kumbalagodu Village, Kengeri Hobli, Bangalore South Taluk",56.7,,kumbalagodu,Kengeri,4.25,No,"https://www.google.com/maps/search/?api=1&query=12.863,77.468"
36,Purva Park Hill (Wing A),Puravankara Limited,31-12-2027,,,,"Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kankanpura Road",109.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
37,Purva Park Hill (Wing B),Puravankara Limited,31-12-2027,,,,"Survey No 19 Mallasandra Village, Kanakapura Road",108.5,,mallasandra,Thalaghattapura,1.62,Yes,"https://www.google.com/maps/search/?api=1&query=12.859,77.505"
38,Purva Park Hill (Wing C),Puravankara Limited,31-12-2027,,,,"Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kanakapura Road",108.5,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
39,Purva Park Hill (Wing D),Puravankara Limited,31-12-2027,,,,"Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kankanpura Road",109.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
40,SURAKSHA HERITAGE PARK,SAI SURAKSHA PROPERTIES,18-01-2027,,,,"KHATA NO 134/25/225/3, SY NO.25/2,25/3, BEGUR VILLAGE, , BEGU HOBLI, BANGALORE SOUTH",98.5,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
59,MAHINDRA EDEN PHASE-1,MAHINDRA LIFESPACE DEVELOPERS LIMITED,30-03-2027,,,,"Mahindra Eden Sy. No. 49 & 50/2, Holiday Village Road,  , Vajarahalli Village,  Kanakapura Road, Bengaluru: 560062.",119.8,,vajarahalli,Vajrahalli,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8618,77.5309"
61,SNN RAJ SERENITY,SNN Builders Private Limited,31-10-2027,,,,"Sy No, 40/1, 40/2, 40/3, 40/4. 40/5, 40/6, 49/1, 49/2, 41/1, 41/2, 41/3, 41/4, 41/7, 42/5 SNN RAJ SERENITY, YELENAHALLI VILLAGE  , BEGUR HOBLI BENGALURU SOUTH TALUK, BENGALURU URBAN DISTRICT",124.2,,yelenahalli,Yelachenahalli,5.28,No,"https://www.google.com/maps/search/?api=1&query=12.887,77.621"
62,Purva Zentech,Purva Ruby Properties Pvt Ltd,01-06-2027,,,,"SY.No.43/1,43/2,44/4,44/5,44/6,44/7 , Doddakalasandra Village  - , Doddakallasandra Village, Kanakapura Main Road Uttarahalli Hobli Bangalore Ward No.197",,,doddakallasandra,Doddakallasandra,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8774,77.5483"
64,JITO RANKA NAGAR,Essence Realty LLP,30-04-2027,,,,"Sy No 27, situated at Doddabelle Village,  , Kengeri Hobli",,,doddabelle,Kengeri,2.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.472"
67,TVS Emerald Jardin,Emerald Haven Development Limited,31-07-2027,,,,"Sy No in 117/1 OF SINGASANDRA VILLAGE AND Sy No in 63/2, 63/3, 63/4, 63/5, 63/6 OF BASAPURA VILLAGE , BEGUR HOBLI, BANGALORE SOUTH TALUK",89,,singasandra,Yelachenahalli,5.74,No,"https://www.google.com/maps/search/?api=1&query=12.873,77.617"
70,ANAND SOMU AARUSH,ANAND GROUP,31-08-2027,,,,"ANAND ALPINE Sy. No. 4/4,4/6 &  36  ANJANAPURA VILLAGE, UTTARAHALLI HOBLI",198.1,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
79,Mahaveer Highlands,REDDY STRUCTURES PRIVATE LIMITED,31-03-2027,,,,"MAHAVEER TURQUOISE, SY. NO. 42/1, BASAPURA VILLAGE, BEGUR HOBLI",88.3,,basapura,Yelachenahalli,5.23,No,"https://www.google.com/maps/search/?api=1&query=12.878,77.615"
81,Nandi Brindavan,NANDI DEVELOPERS,01-03-2027,,,,"BBMP Khatha No.1661, Sy.No. 13, uttarahalli main Road,  , BHCS layout , Ward number 184,",128.7,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
88,OPERA PRIMUS,M/S. OPERA STRUCTURES,31-12-2027,,,,"Sy.253/295/1, BBMP NO:254/295/1. BEGUR ROAD,",100.2,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
93,HSK URBAN LIVING,HSK DEVELOPERS (PROP PARVATHAMMA KRISHNAIAH),01-03-2027,,,,"Sy. No. 64/3A, Ward No.30,  Hebbagodi Village , Attibele Hobli, Anekal Taluk, Bengaluru Urban District",84.4,,attibele,Yelachenahalli,22.83,No,"https://www.google.com/maps/search/?api=1&query=12.79,77.75"
99,ELEGANT HERMITAGE,ELEGANT BUILDERS AND DEVELOPERS,31-03-2027,,,,"V Legacy Rd., Banashankari 3rd Stage, Hosakerehalli, Bengaluru",109.6,,hosakerehalli,Doddakallasandra,1.27,Yes,"https://www.google.com/maps/search/?api=1&query=12.8862,77.5408"
106,RV FALLON,R V BUILDERS AND DEVELOPERS,20-05-2027,,,,"30, Hosakerehalli Main Road,  , Girinagar,",93.6,,hosakerehalli,Doddakallasandra,1.27,Yes,"https://www.google.com/maps/search/?api=1&query=12.8862,77.5408"
111,The High Line Park,Gen Y Social communities LLP,31-08-2027,,,,"Sy no 43/30, Kambipura Village, Kumbalgudu Gram Panchayath , Kengeri Hobli, Bangalore South Taluk",93.2,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
116,GRAVITY ARANYA PHASE - 2,GRAVITY  ESTATES,25-02-2027,,,,"NO.424/31,37,38, SY NO. 31, 37, & 38 CHUDENAPURA VILLAGE KENGERI",231.6,,chudenapura,Kengeri,1.97,Yes,"https://www.google.com/maps/search/?api=1&query=12.845,77.484"
120,Assetz Canvas & Cove - Phase 1 Wing A & B,APG HABITAT PRIVATE LIMITED,30-04-2027,,,,"Survey Nos. 149/1,149/3,149/4,149/5,149/6,149/7 ( PART),150 , BEGUR  BANGALORE SOUTH TALUK",77.7,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
122,PANCHAJANYAA,ROYAAL MAHAADEVA BUILDERS,31-10-2027,,,,"Katha No 287(150200102701021993), Sy No 159, Manchanahalli Village , Sarjapura Hobli, Anekal Taluk",289,,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
123,Shiva Sakthi,SHIVASHAKTHI BUILDERS AND DEVELOPERS,31-03-2027,,,,"SY NO.39/1 & 40/2A, Gowdana Palya, Subramanya Pura Main Road, Kadirenahalli Village, Uttarahalli Hobli, Bangalore South Taluk",115.7,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
124,VARAD,SATYAM BUILDERS & DEVELOPERS,31-12-2027,,,,"2/3, Kammasandra Village , Attibele Hobli, Bangalore South Taluk",106.5,,attibele,Yelachenahalli,22.83,No,"https://www.google.com/maps/search/?api=1&query=12.79,77.75"
126,Concorde Opus II Phase 3,Concorde I Values Homes India LLP,31-03-2027,,,,"Sy No.79/1 & others, Tharalu Village, Uttarahalli Hobli",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
131,DS MAX SISTA GRAND,DS Max Properties Private Limited,31-12-2027,,,,"Khatha No : Sy No 119/2, 119/3, 119/4 and 119/5 OF UTTARAHALLI , BOMMANAHALLI ZONE, BENGALURU IN WARD NO: 184",131.4,,bommanahalli,Yelachenahalli,5.06,No,"https://www.google.com/maps/search/?api=1&query=12.896,77.622"
132,CityVille Valmark Phase 2A,VALMARK DEVELOPERS PRIVATE LIMITED,30-06-2027,,,,"Survey No.2,3,5,6,7,8,9 & 24 of Chandrasekharpura Village and Survey No.112 & 113 of Kamanahalli Village, Begur Hobli, Bengaluru Urban - 560072",196.6,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
133,SURAKSHA SPRINGS,AUK SURAKSHA PROPERTIES,15-03-2027,,,,"Sy No36/8, 36/10  Yelenahalli Village,  , Begur Hobli, Bangalore South Taluk, Bangalore",88.7,,yelenahalli,Yelachenahalli,5.28,No,"https://www.google.com/maps/search/?api=1&query=12.887,77.621"
135,SRI SRI NAGAR,Sri Sumeru Realty Private Limited,31-03-2026,,,,"Sy.No.410, 411, 412 & 432 , Uttarahalli Hobli,  Bangalore Souh Taluk",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
136,DWARA ORVILLE,DWARA DEVELOPERS,10-06-2027,,,,"PROPOSED ROW HOUSE BUILDING @ KHATHA NO : 45, , SY NO : 70/4,70/5, SITUATED AT KAMMANAHALLI VILLAGE, BEGUR HOBLI,",,,kammanahalli,Yelachenahalli,4.61,No,"https://www.google.com/maps/search/?api=1&query=12.885,77.613"
